AVG_PRICE,HOURLY_BUCKET
68.02,01-01 06:00
65.50,01-01 10:00
65.98,01-01 11:00
65.85,01-01 12:00
65.35,01-01 13:00
65.97,01-01 14:00
66.52,01-01 16:00
66.07,01-01 17:00
65.83,01-01 18:00
66.40,01-01 19:00
70.11,01-02 08:00
71.44,01-02 09:00
70.56,01-02 10:00
71.37,01-02 11:00
70.51,01-02 12:00
69.05,01-02 13:00
69.66,01-02 14:00
70.04,01-02 15:00
74.61,01-02 16:00
74.12,01-02 17:00
74.00,01-02 18:00
73.13,01-02 20:00
72.41,01-02 21:00
71.15,01-02 22:00
71.38,01-02 23:00
70.84,01-03 00:00
71.36,01-03 01:00
72.60,01-03 07:00
72.22,01-03 08:00
71.15,01-03 09:00
71.02,01-03 10:00
72.04,01-03 11:00
71.71,01-03 12:00
72.52,01-03 13:00
72.00,01-03 14:00
71.03,01-03 15:00
68.44,01-03 16:00
68.10,01-03 17:00
67.82,01-03 18:00
67.95,01-03 19:00
66.85,01-03 20:00
66.15,01-03 21:00
65.22,01-03 22:00
64.70,01-03 23:00
68.39,01-04 00:00
69.70,01-04 01:00
66.97,01-04 07:00
68.29,01-04 08:00
67.72,01-04 09:00
66.44,01-04 10:00
66.14,01-04 11:00
65.63,01-04 12:00
64.64,01-04 13:00
64.53,01-04 14:00
63.31,01-04 15:00
62.63,01-04 16:00
63.07,01-04 17:00
62.62,01-04 18:00
62.60,01-04 19:00
63.62,01-04 20:00
63.18,01-04 21:00
63.76,01-04 22:00
62.08,01-04 23:00
60.54,01-05 00:00
61.58,01-05 01:00
63.55,01-05 07:00
62.68,01-05 08:00
63.75,01-05 09:00
62.97,01-05 10:00
63.53,01-05 11:00
63.93,01-05 12:00
63.69,01-05 13:00
63.59,01-05 14:00
65.23,01-05 15:00
66.37,01-05 16:00
65.72,01-05 17:00
65.97,01-05 19:00
65.50,01-05 20:00
66.00,01-05 21:00
66.00,01-05 23:00
66.00,01-06 00:00
65.74,01-06 01:00
70.86,01-06 08:00
73.22,01-06 09:00
72.42,01-06 10:00
72.39,01-06 11:00
72.13,01-06 12:00
69.60,01-06 13:00
68.45,01-06 14:00
68.77,01-06 15:00
66.08,01-06 16:00
65.64,01-06 17:00
64.91,01-06 18:00
65.00,01-06 19:00
64.61,01-06 21:00
62.57,01-07 01:00
62.57,01-07 02:00
65.40,01-07 10:00
65.42,01-07 11:00
66.30,01-08 08:00
66.00,01-08 10:00
66.25,01-08 11:00
65.92,01-08 12:00
64.90,01-08 13:00
65.08,01-08 14:00
65.20,01-08 15:00
65.68,01-08 17:00
65.50,01-08 18:00
65.50,01-08 19:00
65.97,01-08 20:00
65.97,01-08 21:00
66.05,01-08 22:00
68.00,01-09 00:00
68.00,01-09 01:00
68.37,01-09 07:00
67.26,01-09 08:00
67.41,01-09 09:00
67.87,01-09 10:00
68.19,01-09 11:00
68.34,01-09 12:00
68.88,01-09 13:00
69.44,01-09 14:00
70.60,01-09 15:00
72.09,01-09 16:00
74.47,01-09 17:00
74.39,01-09 18:00
73.68,01-09 19:00
73.95,01-09 20:00
74.00,01-09 21:00
72.03,01-09 22:00
72.02,01-09 23:00
71.56,01-10 00:00
71.00,01-10 01:00
73.60,01-10 07:00
71.78,01-10 08:00
71.47,01-10 09:00
70.81,01-10 10:00
69.52,01-10 11:00
68.77,01-10 12:00
68.35,01-10 13:00
67.76,01-10 14:00
68.27,01-10 15:00
66.79,01-10 16:00
66.85,01-10 17:00
67.80,01-10 18:00
71.00,01-10 21:00
70.00,01-10 22:00
67.12,01-10 23:00
65.43,01-11 00:00
68.74,01-11 07:00
67.09,01-11 08:00
65.39,01-11 09:00
65.70,01-11 10:00
65.70,01-11 11:00
64.76,01-11 12:00
63.57,01-11 13:00
63.40,01-11 14:00
63.41,01-11 15:00
62.72,01-11 16:00
62.21,01-11 17:00
62.25,01-11 18:00
62.65,01-11 21:00
62.40,01-11 22:00
62.46,01-11 23:00
61.49,01-12 00:00
62.19,01-12 01:00
64.55,01-12 08:00
65.04,01-12 09:00
65.29,01-12 10:00
65.47,01-12 11:00
65.41,01-12 12:00
64.94,01-12 13:00
65.03,01-12 14:00
64.34,01-12 15:00
64.84,01-12 16:00
65.87,01-12 17:00
67.57,01-12 18:00
67.56,01-12 20:00
66.92,01-12 21:00
68.65,01-12 22:00
66.63,01-13 00:00
65.52,01-13 01:00
66.00,01-13 07:00
66.79,01-13 08:00
65.70,01-13 09:00
64.33,01-13 10:00
63.85,01-13 11:00
63.89,01-13 12:00
63.71,01-13 13:00
63.94,01-13 14:00
64.11,01-13 15:00
63.19,01-13 16:00
63.39,01-13 17:00
63.51,01-13 18:00
63.02,01-13 21:00
63.02,01-13 22:00
64.50,01-14 07:00
66.00,01-14 14:00
66.00,01-14 16:00
64.47,01-14 18:00
64.20,01-14 22:00
64.20,01-14 23:00
64.20,01-15 00:00
64.98,01-15 11:00
64.04,01-15 12:00
63.62,01-15 13:00
63.43,01-15 14:00
63.73,01-15 16:00
63.56,01-15 17:00
63.87,01-15 18:00
63.72,01-15 19:00
63.57,01-15 20:00
63.45,01-15 22:00
63.40,01-15 23:00
63.40,01-16 00:00
64.10,01-16 01:00
61.50,01-16 07:00
61.02,01-16 08:00
59.29,01-16 09:00
57.39,01-16 10:00
57.36,01-16 11:00
56.99,01-16 12:00
56.34,01-16 13:00
55.92,01-16 14:00
55.45,01-16 15:00
55.51,01-16 16:00
55.51,01-16 17:00
54.20,01-16 18:00
55.29,01-16 19:00
55.55,01-16 20:00
56.23,01-16 21:00
56.65,01-16 22:00
56.62,01-16 23:00
59.50,01-17 00:00
59.50,01-17 01:00
54.50,01-17 08:00
52.92,01-17 09:00
54.15,01-17 10:00
54.32,01-17 11:00
55.50,01-17 12:00
57.15,01-17 13:00
58.45,01-17 14:00
58.98,01-17 15:00
59.95,01-17 16:00
59.73,01-17 17:00
61.13,01-17 18:00
62.55,01-17 19:00
62.76,01-17 21:00
62.35,01-17 22:00
62.85,01-17 23:00
62.48,01-18 00:00
62.31,01-18 01:00
57.66,01-18 08:00
59.40,01-18 09:00
60.83,01-18 10:00
61.38,01-18 11:00
61.80,01-18 12:00
62.90,01-18 13:00
63.23,01-18 14:00
62.20,01-18 15:00
62.33,01-18 16:00
62.90,01-18 17:00
62.44,01-18 18:00
62.56,01-18 19:00
62.20,01-18 20:00
62.10,01-18 21:00
61.91,01-19 00:00
63.35,01-19 07:00
64.49,01-19 08:00
63.61,01-19 09:00
61.56,01-19 10:00
59.88,01-19 11:00
59.49,01-19 12:00
60.55,01-19 13:00
60.73,01-19 14:00
60.14,01-19 15:00
61.34,01-19 16:00
62.23,01-19 17:00
63.02,01-19 18:00
62.25,01-19 21:00
62.17,01-19 22:00
62.80,01-19 23:00
62.77,01-20 00:00
62.94,01-20 01:00
59.67,01-20 08:00
60.26,01-20 09:00
61.19,01-20 10:00
62.52,01-20 11:00
64.38,01-20 12:00
64.50,01-20 13:00
64.91,01-20 14:00
66.75,01-20 15:00
68.52,01-20 16:00
68.19,01-20 17:00
68.50,01-20 18:00
66.87,01-20 20:00
69.00,01-21 08:00
66.97,01-22 07:00
66.02,01-22 09:00
68.64,01-22 10:00
69.34,01-22 11:00
69.64,01-22 12:00
69.07,01-22 13:00
68.32,01-22 14:00
69.68,01-22 15:00
69.26,01-22 16:00
71.39,01-22 19:00
72.70,01-22 20:00
72.59,01-22 21:00
73.42,01-22 22:00
74.00,01-23 00:00
72.55,01-23 01:00
72.32,01-23 07:00
64.84,01-23 08:00
65.66,01-23 09:00
64.59,01-23 10:00
65.07,01-23 11:00
66.17,01-23 12:00
67.90,01-23 13:00
68.40,01-23 14:00
69.16,01-23 15:00
66.75,01-23 16:00
65.24,01-23 17:00
66.37,01-23 18:00
66.47,01-23 19:00
64.93,01-23 20:00
65.95,01-23 21:00
66.50,01-23 23:00
64.71,01-24 01:00
62.00,01-24 08:00
60.74,01-24 09:00
60.81,01-24 10:00
60.62,01-24 11:00
61.45,01-24 12:00
61.07,01-24 13:00
60.57,01-24 14:00
60.22,01-24 15:00
58.98,01-24 16:00
61.50,01-24 17:00
59.15,01-24 19:00
58.83,01-24 21:00
57.62,01-25 00:00
58.82,01-25 01:00
56.96,01-25 08:00
57.54,01-25 09:00
58.32,01-25 10:00
58.19,01-25 11:00
57.63,01-25 12:00
57.27,01-25 13:00
56.70,01-25 14:00
56.57,01-25 15:00
57.56,01-25 16:00
58.52,01-25 17:00
58.86,01-25 19:00
59.56,01-25 20:00
60.00,01-25 21:00
60.65,01-25 23:00
60.36,01-26 00:00
59.72,01-26 01:00
59.83,01-26 08:00
59.84,01-26 09:00
58.63,01-26 10:00
57.47,01-26 11:00
57.46,01-26 12:00
57.81,01-26 13:00
58.24,01-26 14:00
56.76,01-26 15:00
55.78,01-26 16:00
55.94,01-26 17:00
56.50,01-26 19:00
55.80,01-26 20:00
56.22,01-26 21:00
56.67,01-26 22:00
55.06,01-27 00:00
55.00,01-27 01:00
53.48,01-27 07:00
53.12,01-27 08:00
53.46,01-27 09:00
53.85,01-27 10:00
54.10,01-27 11:00
53.35,01-27 12:00
53.89,01-27 13:00
54.41,01-27 14:00
55.03,01-27 15:00
56.54,01-27 16:00
56.96,01-27 17:00
56.77,01-27 18:00
56.77,01-28 01:00
55.60,01-28 14:00
55.75,01-28 18:00
56.00,01-28 19:00
56.02,01-28 20:00
55.42,01-28 21:00
55.86,01-28 22:00
56.00,01-28 23:00
56.00,01-29 00:00
56.00,01-29 09:00
55.50,01-29 10:00
55.10,01-29 11:00
55.27,01-29 12:00
55.79,01-29 13:00
55.77,01-29 14:00
55.57,01-29 15:00
55.92,01-29 16:00
55.85,01-29 17:00
55.85,01-29 20:00
56.15,01-29 21:00
55.04,01-29 22:00
54.23,01-30 00:00
54.45,01-30 01:00
56.35,01-30 08:00
57.79,01-30 09:00
57.65,01-30 10:00
57.53,01-30 11:00
57.03,01-30 12:00
57.32,01-30 13:00
56.26,01-30 14:00
55.35,01-30 15:00
55.72,01-30 16:00
57.61,01-30 17:00
57.92,01-30 18:00
58.62,01-30 19:00
58.36,01-30 20:00
58.08,01-30 21:00
57.56,01-31 00:00
60.00,01-31 07:00
59.72,01-31 08:00
59.21,01-31 09:00
59.22,01-31 10:00
59.03,01-31 11:00
57.96,01-31 12:00
57.38,01-31 13:00
57.42,01-31 14:00
57.54,01-31 15:00
58.06,01-31 16:00
59.61,01-31 17:00
59.70,01-31 18:00
61.26,01-31 19:00
60.50,01-31 20:00
59.82,01-31 21:00
60.01,01-31 22:00
60.35,02-01 00:00
61.45,02-01 01:00
57.43,02-01 07:00
56.83,02-01 08:00
57.35,02-01 09:00
58.60,02-01 10:00
58.49,02-01 11:00
58.66,02-01 12:00
59.44,02-01 13:00
59.89,02-01 14:00
60.19,02-01 15:00
59.91,02-01 16:00
59.87,02-01 17:00
59.82,02-01 19:00
59.20,02-01 20:00
59.18,02-01 21:00
58.99,02-01 22:00
59.36,02-01 23:00
58.58,02-02 00:00
58.59,02-02 01:00
59.74,02-02 08:00
58.84,02-02 09:00
57.98,02-02 10:00
58.12,02-02 11:00
58.05,02-02 12:00
57.19,02-02 13:00
56.49,02-02 14:00
56.99,02-02 15:00
56.37,02-02 16:00
56.89,02-02 17:00
56.87,02-02 18:00
56.25,02-02 19:00
56.10,02-02 20:00
56.08,02-02 21:00
56.26,02-02 22:00
56.32,02-02 23:00
56.78,02-03 00:00
56.35,02-03 01:00
57.50,02-03 07:00
57.03,02-03 08:00
57.41,02-03 09:00
58.83,02-03 10:00
59.43,02-03 11:00
59.40,02-03 12:00
59.22,02-03 13:00
59.96,02-03 14:00
59.47,02-03 15:00
59.59,02-03 16:00
60.04,02-03 17:00
60.50,02-03 18:00
60.50,02-03 21:00
60.39,02-04 10:00
61.00,02-04 17:00
61.42,02-05 00:00
61.50,02-05 09:00
62.22,02-05 10:00
63.15,02-05 11:00
63.77,02-05 12:00
63.88,02-05 13:00
64.34,02-05 14:00
64.92,02-05 15:00
64.06,02-05 16:00
64.84,02-05 18:00
64.52,02-05 19:00
64.60,02-05 20:00
64.77,02-05 22:00
64.50,02-05 23:00
64.13,02-06 00:00
61.15,02-06 01:00
58.71,02-06 08:00
58.14,02-06 09:00
58.30,02-06 10:00
58.63,02-06 11:00
58.53,02-06 12:00
58.66,02-06 13:00
58.82,02-06 14:00
58.97,02-06 15:00
59.25,02-06 16:00
59.10,02-06 17:00
59.06,02-06 18:00
58.80,02-06 19:00
58.79,02-06 21:00
59.35,02-06 22:00
57.43,02-07 00:00
56.07,02-07 01:00
58.03,02-07 07:00
58.59,02-07 08:00
59.15,02-07 09:00
58.79,02-07 10:00
58.75,02-07 11:00
58.84,02-07 12:00
58.43,02-07 13:00
57.64,02-07 14:00
56.58,02-07 15:00
55.71,02-07 16:00
55.39,02-07 17:00
56.84,02-07 18:00
55.51,02-07 19:00
56.95,02-07 20:00
55.84,02-08 00:00
56.21,02-08 01:00
55.84,02-08 08:00
54.84,02-08 09:00
55.29,02-08 10:00
55.44,02-08 11:00
55.06,02-08 12:00
54.24,02-08 13:00
54.27,02-08 14:00
53.92,02-08 15:00
54.74,02-08 16:00
55.00,02-08 17:00
55.85,02-08 18:00
55.77,02-08 19:00
56.96,02-08 20:00
56.82,02-08 21:00
57.53,02-08 23:00
55.14,02-09 01:00
55.46,02-09 08:00
55.25,02-09 09:00
55.31,02-09 10:00
55.17,02-09 11:00
54.74,02-09 12:00
54.42,02-09 13:00
54.22,02-09 14:00
53.86,02-09 15:00
53.84,02-09 16:00
54.58,02-09 17:00
54.25,02-09 19:00
54.16,02-09 20:00
54.25,02-09 21:00
53.56,02-10 00:00
52.79,02-10 01:00
54.66,02-10 08:00
54.58,02-10 09:00
54.21,02-10 10:00
54.17,02-10 11:00
53.97,02-10 12:00
54.07,02-10 13:00
54.21,02-10 14:00
53.99,02-10 15:00
54.87,02-10 16:00
55.09,02-10 17:00
55.00,02-10 21:00
55.00,02-10 22:00
55.00,02-10 23:00
54.79,02-11 00:00
54.72,02-11 01:00
54.65,02-11 07:00
54.65,02-11 17:00
55.00,02-11 18:00
54.42,02-11 20:00
54.90,02-11 22:00
54.02,02-11 23:00
54.00,02-12 00:00
53.62,02-12 01:00
53.50,02-12 08:00
53.09,02-12 09:00
53.83,02-12 10:00
53.44,02-12 11:00
53.97,02-12 12:00
53.94,02-12 13:00
53.95,02-12 14:00
53.44,02-12 15:00
53.48,02-12 16:00
53.02,02-12 17:00
53.00,02-12 18:00
53.38,02-12 19:00
52.80,02-12 20:00
52.90,02-12 21:00
52.30,02-12 22:00
51.58,02-13 00:00
50.30,02-13 01:00
52.15,02-13 07:00
52.55,02-13 08:00
52.34,02-13 09:00
52.42,02-13 10:00
52.29,02-13 11:00
52.76,02-13 12:00
52.68,02-13 13:00
52.87,02-13 14:00
52.89,02-13 15:00
52.67,02-13 16:00
52.97,02-13 17:00
53.25,02-13 18:00
52.67,02-13 19:00
52.45,02-13 20:00
51.70,02-13 21:00
51.65,02-13 22:00
51.55,02-13 23:00
49.64,02-14 00:00
49.46,02-14 01:00
52.50,02-14 07:00
52.58,02-14 08:00
53.06,02-14 09:00
53.50,02-14 10:00
53.54,02-14 11:00
53.51,02-14 12:00
53.48,02-14 13:00
53.70,02-14 14:00
53.37,02-14 15:00
53.28,02-14 16:00
52.91,02-14 17:00
53.10,02-14 18:00
54.16,02-14 21:00
52.40,02-15 00:00
51.85,02-15 01:00
54.09,02-15 08:00
54.07,02-15 09:00
54.28,02-15 10:00
54.14,02-15 11:00
54.08,02-15 12:00
54.30,02-15 13:00
54.65,02-15 14:00
54.69,02-15 15:00
54.68,02-15 16:00
54.70,02-15 17:00
54.89,02-15 18:00
54.25,02-15 19:00
53.33,02-15 20:00
54.38,02-15 21:00
53.20,02-16 00:00
53.04,02-16 01:00
53.22,02-16 08:00
52.95,02-16 09:00
52.92,02-16 10:00
52.86,02-16 11:00
52.63,02-16 12:00
52.44,02-16 13:00
52.59,02-16 14:00
52.39,02-16 15:00
51.64,02-16 16:00
51.51,02-16 17:00
50.00,02-16 19:00
49.93,02-16 20:00
49.65,02-16 21:00
50.60,02-16 22:00
50.02,02-17 00:00
52.57,02-17 01:00
49.48,02-17 08:00
48.96,02-17 09:00
49.18,02-17 10:00
49.43,02-17 11:00
49.68,02-17 12:00
49.46,02-17 13:00
49.24,02-17 14:00
49.26,02-17 15:00
49.02,02-17 16:00
49.16,02-17 17:00
49.12,02-17 18:00
48.70,02-17 19:00
48.68,02-18 01:00
48.70,02-18 22:00
48.72,02-18 23:00
48.55,02-19 01:00
49.20,02-19 09:00
49.20,02-19 10:00
49.11,02-19 11:00
48.31,02-19 12:00
48.01,02-19 13:00
48.28,02-19 14:00
47.71,02-19 15:00
48.05,02-19 16:00
48.43,02-19 18:00
48.92,02-19 20:00
49.35,02-19 21:00
49.42,02-19 22:00
48.45,02-20 00:00
49.47,02-20 01:00
50.00,02-20 07:00
50.87,02-20 08:00
51.29,02-20 09:00
51.04,02-20 10:00
51.21,02-20 11:00
51.42,02-20 12:00
51.67,02-20 13:00
51.41,02-20 14:00
50.85,02-20 15:00
49.68,02-20 16:00
50.27,02-20 17:00
50.78,02-20 18:00
51.31,02-20 19:00
51.79,02-20 20:00
51.71,02-20 23:00
49.23,02-21 01:00
48.70,02-21 08:00
49.06,02-21 09:00
48.92,02-21 10:00
48.90,02-21 11:00
48.91,02-21 12:00
48.67,02-21 13:00
48.62,02-21 14:00
48.85,02-21 15:00
49.36,02-21 16:00
50.52,02-21 17:00
50.23,02-21 18:00
51.49,02-21 19:00
51.63,02-21 20:00
51.30,02-21 21:00
51.34,02-21 22:00
50.14,02-22 00:00
50.07,02-22 01:00
49.77,02-22 07:00
50.09,02-22 08:00
50.10,02-22 09:00
50.20,02-22 10:00
50.81,02-22 11:00
51.20,02-22 12:00
50.90,02-22 13:00
50.99,02-22 14:00
51.14,02-22 15:00
50.51,02-22 16:00
49.47,02-22 17:00
49.59,02-22 18:00
49.60,02-22 20:00
49.60,02-22 22:00
49.02,02-22 23:00
48.70,02-23 00:00
49.33,02-23 01:00
50.17,02-23 07:00
50.02,02-23 08:00
50.12,02-23 09:00
50.39,02-23 10:00
50.55,02-23 11:00
51.02,02-23 12:00
51.02,02-23 13:00
51.24,02-23 14:00
51.37,02-23 15:00
50.52,02-23 16:00
50.50,02-23 17:00
50.96,02-23 18:00
50.67,02-24 00:00
50.99,02-24 01:00
52.81,02-24 08:00
52.65,02-24 09:00
53.04,02-24 10:00
53.40,02-24 11:00
53.34,02-24 12:00
53.02,02-24 13:00
52.83,02-24 14:00
52.43,02-24 15:00
51.97,02-24 16:00
51.98,02-24 17:00
52.15,02-24 18:00
51.77,02-24 23:00
51.37,02-25 16:00
51.96,02-26 00:00
51.00,02-26 09:00
51.00,02-26 10:00
50.99,02-26 11:00
51.73,02-26 12:00
52.46,02-26 13:00
53.25,02-26 14:00
53.03,02-26 15:00
53.50,02-26 16:00
53.50,02-26 18:00
52.25,02-26 19:00
52.33,02-27 00:00
52.92,02-27 01:00
50.00,02-27 07:00
50.69,02-27 08:00
50.77,02-27 09:00
50.78,02-27 10:00
50.91,02-27 11:00
50.92,02-27 12:00
50.65,02-27 13:00
50.48,02-27 14:00
49.60,02-27 15:00
48.38,02-27 16:00
47.82,02-27 17:00
47.63,02-27 18:00
47.40,02-27 21:00
48.56,02-28 00:00
47.85,02-28 01:00
48.84,02-28 08:00
49.13,02-28 09:00
49.15,02-28 10:00
48.50,02-28 11:00
48.62,02-28 12:00
48.38,02-28 13:00
48.52,02-28 14:00
48.12,02-28 15:00
47.57,02-28 16:00
47.67,02-28 17:00
47.68,02-28 18:00
48.22,02-28 19:00
48.39,02-28 20:00
48.52,02-28 21:00
48.59,02-28 22:00
49.42,02-28 23:00
49.43,03-01 00:00
47.60,03-01 01:00
48.09,03-01 08:00
48.71,03-01 09:00
48.51,03-01 10:00
48.37,03-01 11:00
48.56,03-01 12:00
48.65,03-01 13:00
48.74,03-01 14:00
48.15,03-01 15:00
48.56,03-01 16:00
49.53,03-01 17:00
49.57,03-01 18:00
49.90,03-01 19:00
49.71,03-01 20:00
49.71,03-01 21:00
49.70,03-01 22:00
49.69,03-01 23:00
49.63,03-02 00:00
49.13,03-02 01:00
48.97,03-02 08:00
48.62,03-02 09:00
48.42,03-02 10:00
48.35,03-02 11:00
48.26,03-02 12:00
48.38,03-02 13:00
48.48,03-02 14:00
48.10,03-02 15:00
47.60,03-02 16:00
46.96,03-02 17:00
46.42,03-02 18:00
47.67,03-02 19:00
47.58,03-02 20:00
47.57,03-02 21:00
47.60,03-02 22:00
46.13,03-03 00:00
46.15,03-03 01:00
46.50,03-03 07:00
46.77,03-03 08:00
46.62,03-03 09:00
46.50,03-03 10:00
46.28,03-03 11:00
46.33,03-03 12:00
46.56,03-03 13:00
46.85,03-03 14:00
46.47,03-03 15:00
46.34,03-03 16:00
46.53,03-03 17:00
46.75,03-03 21:00
46.30,03-04 01:00
45.98,03-04 11:00
47.37,03-04 13:00
48.10,03-05 08:00
48.59,03-05 10:00
48.42,03-05 11:00
49.17,03-05 12:00
49.18,03-05 13:00
48.80,03-05 15:00
48.75,03-05 16:00
48.65,03-05 17:00
48.95,03-05 18:00
47.30,03-05 19:00
47.30,03-05 20:00
47.69,03-05 21:00
47.22,03-05 22:00
47.15,03-05 23:00
47.24,03-06 00:00
46.87,03-06 01:00
44.52,03-06 07:00
44.26,03-06 08:00
44.10,03-06 09:00
44.11,03-06 10:00
44.13,03-06 11:00
44.26,03-06 12:00
44.16,03-06 13:00
43.89,03-06 14:00
43.48,03-06 15:00
43.86,03-06 16:00
44.91,03-06 17:00
45.16,03-06 18:00
45.94,03-06 19:00
46.44,03-06 20:00
45.98,03-06 21:00
46.32,03-06 22:00
45.04,03-07 00:00
45.09,03-07 01:00
44.70,03-07 07:00
44.23,03-07 08:00
43.58,03-07 09:00
43.73,03-07 10:00
43.45,03-07 11:00
43.67,03-07 12:00
44.11,03-07 13:00
44.85,03-07 14:00
44.79,03-07 15:00
45.16,03-07 16:00
45.43,03-07 17:00
45.50,03-07 18:00
45.66,03-07 19:00
45.81,03-07 20:00
46.18,03-07 21:00
46.50,03-07 22:00
46.66,03-07 23:00
45.74,03-08 00:00
45.29,03-08 01:00
46.50,03-08 07:00
45.84,03-08 08:00
45.74,03-08 09:00
45.46,03-08 10:00
45.28,03-08 11:00
44.90,03-08 12:00
44.30,03-08 13:00
44.13,03-08 14:00
44.02,03-08 15:00
43.38,03-08 16:00
43.53,03-08 17:00
43.86,03-08 18:00
43.26,03-08 20:00
43.00,03-08 21:00
42.43,03-09 00:00
42.18,03-09 01:00
41.73,03-09 07:00
41.69,03-09 08:00
41.91,03-09 09:00
42.02,03-09 10:00
42.26,03-09 11:00
41.91,03-09 12:00
41.60,03-09 13:00
42.15,03-09 14:00
42.94,03-09 15:00
45.50,03-09 16:00
47.31,03-09 17:00
47.17,03-09 18:00
47.54,03-09 20:00
47.57,03-09 21:00
47.70,03-09 22:00
46.72,03-09 23:00
46.62,03-10 00:00
46.51,03-10 01:00
46.63,03-10 07:00
47.20,03-10 08:00
45.58,03-10 09:00
46.26,03-10 10:00
47.29,03-10 11:00
46.89,03-10 12:00
47.02,03-10 13:00
48.41,03-10 14:00
50.46,03-10 15:00
53.05,03-10 16:00
53.43,03-10 17:00
54.95,03-10 23:00
54.95,03-11 00:00
54.95,03-11 01:00
55.00,03-11 09:00
54.97,03-11 10:00
53.65,03-11 12:00
53.65,03-11 13:00
53.57,03-11 14:00
52.20,03-11 20:00
52.20,03-11 21:00
52.20,03-11 22:00
52.20,03-11 23:00
52.20,03-12 00:00
52.20,03-12 01:00
52.35,03-12 08:00
52.01,03-12 09:00
51.60,03-12 10:00
50.77,03-12 11:00
50.77,03-12 12:00
49.75,03-12 13:00
49.62,03-12 14:00
49.87,03-12 15:00
49.92,03-12 16:00
50.03,03-12 17:00
50.54,03-12 19:00
50.20,03-12 20:00
49.18,03-12 23:00
50.00,03-13 00:00
50.66,03-13 01:00
49.35,03-13 07:00
49.05,03-13 08:00
50.26,03-13 09:00
51.93,03-13 10:00
52.31,03-13 11:00
52.45,03-13 12:00
52.64,03-13 13:00
53.26,03-13 14:00
52.49,03-13 15:00
49.48,03-13 16:00
48.88,03-13 17:00
48.50,03-13 18:00
48.50,03-13 19:00
48.67,03-13 20:00
48.50,03-13 21:00
48.15,03-13 22:00
46.96,03-14 00:00
46.91,03-14 01:00
47.74,03-14 07:00
46.99,03-14 08:00
47.63,03-14 09:00
47.67,03-14 10:00
